# Generated with codec_test.py (time: 184min)

Tool versions:
+ mencoder 2:1.0~rc2-0ubuntu13
+ mkvmerge v2.0.2
+ mp4creator 1.6
+ mplayer 1.0rc2-4.2.3
+ ogmmerge v1.5
+ undvd 0.5.1

+------------+------------+------------+------------+
| container  | vcodec     | acodec     | status     |
| flv        | wmv2       | mp2        | failed     |
| flv        | wmv2       | mp3        | failed     |
| flv        | wmv2       | sonic      | failed     |
| flv        | wmv2       | sonicls    | failed     |
| flv        | wmv2       | vorbis     | failed     |
| flv        | wmv2       | wmav1      | failed     |
| flv        | wmv2       | wmav2      | failed     |
| flv        | xvid       | aac        | failed     |
| flv        | xvid       | ac3        | failed     |
| flv        | xvid       | flac       | failed     |
| flv        | xvid       | mp2        | failed     |
| flv        | xvid       | mp3        | failed     |
| flv        | xvid       | sonic      | failed     |
| flv        | xvid       | sonicls    | failed     |
| flv        | xvid       | vorbis     | failed     |
| flv        | xvid       | wmav1      | failed     |
| flv        | xvid       | wmav2      | failed     |
| mkv        | asv1       | aac        | failed     |
| mkv        | asv1       | ac3        | ok         |
| mkv        | asv1       | flac       | failed     |
| mkv        | asv1       | mp2        | ok         |
| mkv        | asv1       | mp3        | ok         |
| mkv        | asv1       | sonic      | failed     |
| mkv        | asv1       | sonicls    | failed     |
| mkv        | asv1       | vorbis     | failed     |
| mkv        | asv1       | wmav1      | failed     |
| mkv        | asv1       | wmav2      | failed     |
| mkv        | asv2       | aac        | failed     |
| mkv        | asv2       | ac3        | ok         |
